timestamp,open,high,low,close,volume,vwap,transactions
1735794000000,111.79,112.37,109.83,110.55,291284,110.705,8061
1735880400000,110.28,112.64,110.19,112.46,335713,111.9647,10144
1736139600000,113.02,114.605,111.74,112.22,509602,112.6694,10814
1736226000000,113.07,113.39,111.9,112.68,244397,112.6151,7206
1736312400000,112.27,116.04,112.03,115.48,373449,114.9979,9289
1736485200000,114.3,115,112.405,114.17,444815,113.9573,11588
1736744400000,113.08,114.68,111.86,114.19,432620,113.6422,10418
1736830800000,115.23,115.67,113.555,114.9,363015,114.7648,8949
1736917200000,117.01,117.57,115.34,115.8,281384,115.9685,8390
1737003600000,115.97,118.14,115.725,117.67,367930,117.366,7686
1737090000000,118.65,119.325,117.35,117.54,256725,117.963,8022
1737435600000,118.21,119.61,116.58,119.17,259527,119.031,7871
1737522000000,119.06,119.87,115.97,116.4,302247,116.8683,8813
1737608400000,116.1,118.82,115.01,117.81,524551,117.1967,9198
1737694800000,117.81,117.81,113.96,115.19,465404,115.0721,11011
1737954000000,116.02,120.08,115.05,120.02,516477,118.8507,10821
1738040400000,120.27,122.08,119.75,122.01,450508,121.5124,9168
1738126800000,122.81,122.83,120.67,122.72,307622,122.0736,10513
1738213200000,123.36,125.36,123.2543,124.68,266665,124.6336,7285
1738299600000,124.7,124.7,120.88,122.6,400621,122.461,10940
1738558800000,120.68,122.165,119.79,121.31,287874,121.4572,8364
1738645200000,120.84,122.24,120.84,121.76,623555,121.6205,8857
1738731600000,122.41,124.4106,120.06,120.48,533092,121.0663,10991
1738818000000,121.09,122.06,120.11,121.81,349219,121.2789,9287
1738904400000,122.23,123.18,121.54,121.82,312571,122.0889,9066
1739163600000,122.25,123.79,120.625,122.63,519309,122.0958,12517
1739250000000,119.38,121.13,116.91,117.01,665779,118.7974,13787
1739336400000,115.63,118.9,115.63,118.28,418902,118.0398,10421
1739422800000,119.33,120.35,118.48,118.99,685323,119.0559,15508
1739509200000,127.74,130,123.893,128.93,1115353.0,127.5365,24222
1739854800000,128.4,129.05,124.825,129.01,559772,127.8269,13757
1739941200000,128.62,130.51,127.51,130.35,448822,129.8639,12420
1740027600000,129.77,130.02,128.39,129.36,392864,129.2027,9594
1740114000000,128.96,128.96,124.59,126.39,525477,126.7786,10312
1740373200000,125.13,126.32,123.39,125.23,370537,125.1369,9248
1740459600000,126.14,127.635,125.1,127.17,312601,126.691,8808
1740546000000,127.14,128.9,127.14,128.47,312425,128.4464,9129
1740632400000,128.5,129.31,126.92,126.99,243136,127.8118,7681
1740718800000,127.62,129.81,125.57,129.66,876561,128.2848,13597
1740978000000,129.49,130.34,127.86,128.63,362037,129.0999,11223
1741064400000,127.73,129.26,125.415,128.66,365849,127.9516,9036
1741150800000,127.71,130.5,127.71,130.21,374153,129.7001,8618
1741237200000,128.58,129.065,126.73,127.45,630234,127.6636,13762
1741323600000,127.47,128.59,123.7353,127.2,528078,126.3438,10788
1741579200000,125.76,126.7,123.96,124.25,472435,124.6523,13763
1741665600000,124.17,124.25,122.175,122.28,376373,123.0828,10005
1741752000000,123.73,125.34,123.14,125.02,402168,124.3614,10347
1741838400000,124.69,125.9,122.08,123.38,352480,123.655,10571
1741924800000,124.44,127.01,124,126.73,374087,126.4716,8762
1742184000000,126.2,129.74,126.2,129.13,269837,128.7609,7832
1742270400000,128.46,128.535,126.985,127.17,299575,127.3814,8394
1742356800000,127.71,129.849,126.465,128.63,358133,128.4639,9091
1742443200000,127.47,129.7313,125.91,126.31,440491,126.945,8817
1742529600000,125.7,126.1099,124.21,124.73,568836,124.8746,10013
1742788800000,126.31,127.38,125.08,126.52,296805,126.3628,8829
1742875200000,127.29,127.29,123.32,124.89,301764,125.0559,8116
1742961600000,125.69,126.14,124,125.18,275938,125.0108,8267
